"ABUNDANCE","BIOMASS","GENUS_SPECIES","SAMPLE_DESC","PLOT","LATITUDE","LONGITUDE","DAY","MONTH","YEAR"
"1","13.2","Abies balsamea","46.92_-88.026_7106/0/991_1967","7106/0/991","46.920000","-88.026000","1","1","1967"
"1","13.2","Abies balsamea","46.92_-88.026_7106/1/991_1989","7106/1/991","46.920000","-88.026000","1","1","1989"
"1","6.2","Abies balsamea","46.92_-88.026_7106/0/1045_1989","7106/0/1045","46.920000","-88.026000","1","1","1989"
"1","6.9","Abies balsamea","46.92_-88.026_7106/0/1045_1994","7106/0/1045","46.920000","-88.026000","1","1","1994"
"1","7.9","Abies balsamea","46.92_-88.026_7106/0/1045_1999","7106/0/1045","46.920000","-88.026000","1","1","1999"
"1","8.6","Abies balsamea","46.92_-88.026_7106/0/1045_2004","7106/0/1045","46.920000","-88.026000","1","1","2004"
"1","9.1","Abies balsamea","46.92_-88.026_7106/0/1045_2009","7106/0/1045","46.920000","-88.026000","1","1","2009"
"1","46.7","Acer rubrum","46.92_-88.026_7093/0/224_1962","7093/0/224","46.920000","-88.026000","1","1","1962"
"1","46.7","Acer rubrum","46.92_-88.026_7093/0/224_1967","7093/0/224","46.920000","-88.026000","1","1","1967"
"1","46.7","Acer rubrum","46.92_-88.026_7093/1/224_1989","7093/1/224","46.920000","-88.026000","1","1","1989"
"1","41.4","Acer rubrum","46.92_-88.026_7093/0/247_1962","7093/0/247","46.920000","-88.026000","1","1","1962"
"1","43.9","Acer rubrum","46.92_-88.026_7093/0/247_1967","7093/0/247","46.920000","-88.026000","1","1","1967"
"1","43.9","Acer rubrum","46.92_-88.026_7093/1/247_1989","7093/1/247","46.920000","-88.026000","1","1","1989"
"1","51","Acer rubrum","46.92_-88.026_7093/0/282_1962","7093/0/282","46.920000","-88.026000","1","1","1962"
"1","52","Acer rubrum","46.92_-88.026_7093/0/282_1967","7093/0/282","46.920000","-88.026000","1","1","1967"
"1","54.5","Acer rubrum","46.92_-88.026_7093/0/282_1989","7093/0/282","46.920000","-88.026000","1","1","1989"
"1","55.6","Acer rubrum","46.92_-88.026_7093/0/282_1994","7093/0/282","46.920000","-88.026000","1","1","1994"
"1","56.5","Acer rubrum","46.92_-88.026_7093/0/282_1999","7093/0/282","46.920000","-88.026000","1","1","1999"
"1","57.5","Acer rubrum","46.92_-88.026_7093/0/282_2004","7093/0/282","46.920000","-88.026000","1","1","2004"
"1","58.1","Acer rubrum","46.92_-88.026_7093/0/282_2009","7093/0/282","46.920000","-88.026000","1","1","2009"
"1","25.6","Acer rubrum","46.92_-88.026_7094/0/302_1962","7094/0/302","46.920000","-88.026000","1","1","1962"
"1","25.9","Acer rubrum","46.92_-88.026_7094/0/302_1967","7094/0/302","46.920000","-88.026000","1","1","1967"
"1","27","Acer rubrum","46.92_-88.026_7094/0/302_1989","7094/0/302","46.920000","-88.026000","1","1","1989"
"1","27","Acer rubrum","46.92_-88.026_7094/0/302_1999","7094/0/302","46.920000","-88.026000","1","1","1999"
"1","27","Acer rubrum","46.92_-88.026_7094/1/302_2004","7094/1/302","46.920000","-88.026000","1","1","2004"
"1","27.1","Acer rubrum","46.92_-88.026_7094/0/302_1994","7094/0/302","46.920000","-88.026000","1","1","1994"
"1","16.7","Acer rubrum","46.92_-88.026_7095/0/367_1962","7095/0/367","46.920000","-88.026000","1","1","1962"
"1","17.2","Acer rubrum","46.92_-88.026_7095/0/367_1967","7095/0/367","46.920000","-88.026000","1","1","1967"
"1","19.5","Acer rubrum","46.92_-88.026_7095/0/367_1994","7095/0/367","46.920000","-88.026000","1","1","1994"
"1","19.9","Acer rubrum","46.92_-88.026_7095/0/367_1989","7095/0/367","46.920000","-88.026000","1","1","1989"
"1","20","Acer rubrum","46.92_-88.026_7095/0/367_1999","7095/0/367","46.920000","-88.026000","1","1","1999"
"1","20.2","Acer rubrum","46.92_-88.026_7095/0/367_2009","7095/0/367","46.920000","-88.026000","1","1","2009"
"1","20.8","Acer rubrum","46.92_-88.026_7095/0/367_2004","7095/0/367","46.920000","-88.026000","1","1","2004"
"1","13.7","Acer rubrum","46.92_-88.026_7095/0/375_1962","7095/0/375","46.920000","-88.026000","1","1","1962"
"1","14.4","Acer rubrum","46.92_-88.026_7095/0/375_1967","7095/0/375","46.920000","-88.026000","1","1","1967"
"1","16.1","Acer rubrum","46.92_-88.026_7095/0/375_1989","7095/0/375","46.920000","-88.026000","1","1","1989"
"1","16.3","Acer rubrum","46.92_-88.026_7095/0/375_1994","7095/0/375","46.920000","-88.026000","1","1","1994"
"1","16.6","Acer rubrum","46.92_-88.026_7095/0/375_1999","7095/0/375","46.920000","-88.026000","1","1","1999"
"1","16.9","Acer rubrum","46.92_-88.026_7095/0/375_2004","7095/0/375","46.920000","-88.026000","1","1","2004"
"1","17","Acer rubrum","46.92_-88.026_7095/0/375_2009","7095/0/375","46.920000","-88.026000","1","1","2009"
"1","17.5","Acer rubrum","46.92_-88.026_7095/0/378_1962","7095/0/378","46.920000","-88.026000","1","1","1962"
"1","17.5","Acer rubrum","46.92_-88.026_7095/0/378_1967","7095/0/378","46.920000","-88.026000","1","1","1967"
"1","18.9","Acer rubrum","46.92_-88.026_7095/0/378_2004","7095/0/378","46.920000","-88.026000","1","1","2004"
"1","18.9","Acer rubrum","46.92_-88.026_7095/1/378_2009","7095/1/378","46.920000","-88.026000","1","1","2009"
"1","19.1","Acer rubrum","46.92_-88.026_7095/0/378_1989","7095/0/378","46.920000","-88.026000","1","1","1989"
"1","19.1","Acer rubrum","46.92_-88.026_7095/0/378_1994","7095/0/378","46.920000","-88.026000","1","1","1994"
"1","19.2","Acer rubrum","46.92_-88.026_7095/0/378_1999","7095/0/378","46.920000","-88.026000","1","1","1999"
"1","36.8","Acer rubrum","46.92_-88.026_7095/0/394_1962","7095/0/394","46.920000","-88.026000","1","1","1962"
"1","37","Acer rubrum","46.92_-88.026_7095/0/394_1967","7095/0/394","46.920000","-88.026000","1","1","1967"
"1","37","Acer rubrum","46.92_-88.026_7095/1/394_1989","7095/1/394","46.920000","-88.026000","1","1","1989"
"1","15.2","Acer rubrum","46.92_-88.026_7095/0/416_1962","7095/0/416","46.920000","-88.026000","1","1","1962"
"1","15.7","Acer rubrum","46.92_-88.026_7095/0/416_1967","7095/0/416","46.920000","-88.026000","1","1","1967"
"1","17.9","Acer rubrum","46.92_-88.026_7095/0/416_1989","7095/0/416","46.920000","-88.026000","1","1","1989"
"1","18.4","Acer rubrum","46.92_-88.026_7095/0/416_1994","7095/0/416","46.920000","-88.026000","1","1","1994"
"1","18.8","Acer rubrum","46.92_-88.026_7095/0/416_1999","7095/0/416","46.920000","-88.026000","1","1","1999"
"1","19.4","Acer rubrum","46.92_-88.026_7095/0/416_2009","7095/0/416","46.920000","-88.026000","1","1","2009"
"1","19.5","Acer rubrum","46.92_-88.026_7095/0/416_2004","7095/0/416","46.920000","-88.026000","1","1","2004"
"1","34.6","Acer rubrum","46.92_-88.026_7095/0/444_1994","7095/0/444","46.920000","-88.026000","1","1","1994"
"1","34.6","Acer rubrum","46.92_-88.026_7095/1/444_1999","7095/1/444","46.920000","-88.026000","1","1","1999"
"1","34.7","Acer rubrum","46.92_-88.026_7095/0/444_1962","7095/0/444","46.920000","-88.026000","1","1","1962"
"1","35","Acer rubrum","46.92_-88.026_7095/0/444_1967","7095/0/444","46.920000","-88.026000","1","1","1967"
"1","35.5","Acer rubrum","46.92_-88.026_7095/0/444_1989","7095/0/444","46.920000","-88.026000","1","1","1989"
"1","22.4","Acer rubrum","46.92_-88.026_7104/0/881_1989","7104/0/881","46.920000","-88.026000","1","1","1989"
"1","22.6","Acer rubrum","46.92_-88.026_7104/0/881_1999","7104/0/881","46.920000","-88.026000","1","1","1999"
"1","22.6","Acer rubrum","46.92_-88.026_7104/1/881_2004","7104/1/881","46.920000","-88.026000","1","1","2004"
"1","23.6","Acer rubrum","46.92_-88.026_7104/0/881_1994","7104/0/881","46.920000","-88.026000","1","1","1994"
"1","34","Acer rubrum","46.92_-88.026_7106/0/999_1962","7106/0/999","46.920000","-88.026000","1","1","1962"
"1","34.7","Acer rubrum","46.92_-88.026_7106/0/999_1967","7106/0/999","46.920000","-88.026000","1","1","1967"
"1","36.4","Acer rubrum","46.92_-88.026_7106/0/999_1994","7106/0/999","46.920000","-88.026000","1","1","1994"
"1","36.9","Acer rubrum","46.92_-88.026_7106/0/999_1989","7106/0/999","46.920000","-88.026000","1","1","1989"
"1","37.8","Acer rubrum","46.92_-88.026_7106/0/999_1999","7106/0/999","46.920000","-88.026000","1","1","1999"
"1","38.4","Acer rubrum","46.92_-88.026_7106/0/999_2004","7106/0/999","46.920000","-88.026000","1","1","2004"
"1","38.9","Acer rubrum","46.92_-88.026_7106/0/999_2009","7106/0/999","46.920000","-88.026000","1","1","2009"
"1","36.8","Acer rubrum","46.92_-88.026_7106/0/1015_1962","7106/0/1015","46.920000","-88.026000","1","1","1962"
"1","37.3","Acer rubrum","46.92_-88.026_7106/0/1015_1967","7106/0/1015","46.920000","-88.026000","1","1","1967"
"1","39.5","Acer rubrum","46.92_-88.026_7106/0/1015_1989","7106/0/1015","46.920000","-88.026000","1","1","1989"
"1","39.5","Acer rubrum","46.92_-88.026_7106/0/1015_1994","7106/0/1015","46.920000","-88.026000","1","1","1994"
"1","39.5","Acer rubrum","46.92_-88.026_7106/1/1015_1999","7106/1/1015","46.920000","-88.026000","1","1","1999"
"1","12.9","Acer rubrum","46.92_-88.026_7106/0/1033_1962","7106/0/1033","46.920000","-88.026000","1","1","1962"
"1","13.2","Acer rubrum","46.92_-88.026_7106/0/1033_1967","7106/0/1033","46.920000","-88.026000","1","1","1967"
"1","29.6","Acer rubrum","46.92_-88.026_7106/0/1033_1999","7106/0/1033","46.920000","-88.026000","1","1","1999"
"1","29.8","Acer rubrum","46.92_-88.026_7106/0/1033_2004","7106/0/1033","46.920000","-88.026000","1","1","2004"
"1","30.1","Acer rubrum","46.92_-88.026_7106/0/1033_1994","7106/0/1033","46.920000","-88.026000","1","1","1994"
"1","30.3","Acer rubrum","46.92_-88.026_7106/0/1033_1989","7106/0/1033","46.920000","-88.026000","1","1","1989"
"1","30.3","Acer rubrum","46.92_-88.026_7106/0/1033_2009","7106/0/1033","46.920000","-88.026000","1","1","2009"
"1","31.7","Acer rubrum","46.92_-88.026_7106/0/1040_1962","7106/0/1040","46.920000","-88.026000","1","1","1962"
"1","33.2","Acer rubrum","46.92_-88.026_7106/0/1040_1967","7106/0/1040","46.920000","-88.026000","1","1","1967"
"1","37.5","Acer rubrum","46.92_-88.026_7106/0/1040_1989","7106/0/1040","46.920000","-88.026000","1","1","1989"
"1","38.3","Acer rubrum","46.92_-88.026_7106/0/1040_1994","7106/0/1040","46.920000","-88.026000","1","1","1994"
"1","38.4","Acer rubrum","46.92_-88.026_7106/0/1040_2004","7106/0/1040","46.920000","-88.026000","1","1","2004"
"1","38.5","Acer rubrum","46.92_-88.026_7106/0/1040_1999","7106/0/1040","46.920000","-88.026000","1","1","1999"
"1","38.5","Acer rubrum","46.92_-88.026_7106/0/1040_2009","7106/0/1040","46.920000","-88.026000","1","1","2009"
"1","24.1","Acer rubrum","46.92_-88.026_7106/0/1046_1962","7106/0/1046","46.920000","-88.026000","1","1","1962"
"1","25.9","Acer rubrum","46.92_-88.026_7106/0/1046_1967","7106/0/1046","46.920000","-88.026000","1","1","1967"
"1","34.2","Acer rubrum","46.92_-88.026_7106/0/1046_1989","7106/0/1046","46.920000","-88.026000","1","1","1989"
"1","36.1","Acer rubrum","46.92_-88.026_7106/0/1046_1994","7106/0/1046","46.920000","-88.026000","1","1","1994"
"1","38.8","Acer rubrum","46.92_-88.026_7106/0/1046_1999","7106/0/1046","46.920000","-88.026000","1","1","1999"
"1","41.1","Acer rubrum","46.92_-88.026_7106/0/1046_2004","7106/0/1046","46.920000","-88.026000","1","1","2004"
"1","42.1","Acer rubrum","46.92_-88.026_7106/0/1046_2009","7106/0/1046","46.920000","-88.026000","1","1","2009"
"1","1.5","Acer saccharum","46.92_-88.026_7088/0/1_1994","7088/0/1","46.920000","-88.026000","1","1","1994"
"1","2.2","Acer saccharum","46.92_-88.026_7088/0/1_1999","7088/0/1","46.920000","-88.026000","1","1","1999"
"1","2.2","Acer saccharum","46.92_-88.026_7088/1/1_2004","7088/1/1","46.920000","-88.026000","1","1","2004"
"1","5","Acer saccharum","46.92_-88.026_7088/0/2_1999","7088/0/2","46.920000","-88.026000","1","1","1999"
"1","7","Acer saccharum","46.92_-88.026_7088/0/2_2004","7088/0/2","46.920000","-88.026000","1","1","2004"
"1","8.5","Acer saccharum","46.92_-88.026_7088/0/2_2009","7088/0/2","46.920000","-88.026000","1","1","2009"
"1","1.2","Acer saccharum","46.92_-88.026_7088/0/6_1994","7088/0/6","46.920000","-88.026000","1","1","1994"
"1","1.2","Acer saccharum","46.92_-88.026_7088/1/6_1999","7088/1/6","46.920000","-88.026000","1","1","1999"
"1","2.3","Acer saccharum","46.92_-88.026_7088/0/7_1994","7088/0/7","46.920000","-88.026000","1","1","1994"
"1","2.3","Acer saccharum","46.92_-88.026_7088/1/7_1999","7088/1/7","46.920000","-88.026000","1","1","1999"
"1","2.2","Acer saccharum","46.92_-88.026_7088/0/9_1994","7088/0/9","46.920000","-88.026000","1","1","1994"
"1","2.2","Acer saccharum","46.92_-88.026_7088/1/9_1999","7088/1/9","46.920000","-88.026000","1","1","1999"
"1","65","Acer saccharum","46.92_-88.026_7088/0/10_1962","7088/0/10","46.920000","-88.026000","1","1","1962"
"1","66.5","Acer saccharum","46.92_-88.026_7088/0/10_1967","7088/0/10","46.920000","-88.026000","1","1","1967"
"1","66.5","Acer saccharum","46.92_-88.026_7088/1/10_1989","7088/1/10","46.920000","-88.026000","1","1","1989"
"1","1.4","Acer saccharum","46.92_-88.026_7088/0/11_1994","7088/0/11","46.920000","-88.026000","1","1","1994"
"1","1.4","Acer saccharum","46.92_-88.026_7088/1/11_1999","7088/1/11","46.920000","-88.026000","1","1","1999"
"1","1.1","Acer saccharum","46.92_-88.026_7088/0/12_1994","7088/0/12","46.920000","-88.026000","1","1","1994"
"1","1.2","Acer saccharum","46.92_-88.026_7088/0/12_1999","7088/0/12","46.920000","-88.026000","1","1","1999"
"1","1.2","Acer saccharum","46.92_-88.026_7088/1/12_2004","7088/1/12","46.920000","-88.026000","1","1","2004"
"1","40.8","Acer saccharum","46.92_-88.026_7088/0/13_1962","7088/0/13","46.920000","-88.026000","1","1","1962"
"1","41.6","Acer saccharum","46.92_-88.026_7088/0/13_1967","7088/0/13","46.920000","-88.026000","1","1","1967"
"1","41.6","Acer saccharum","46.92_-88.026_7088/1/13_1989","7088/1/13","46.920000","-88.026000","1","1","1989"
"1","1.6","Acer saccharum","46.92_-88.026_7088/0/14_1994","7088/0/14","46.920000","-88.026000","1","1","1994"
"1","2.3","Acer saccharum","46.92_-88.026_7088/0/14_1999","7088/0/14","46.920000","-88.026000","1","1","1999"
"1","2.3","Acer saccharum","46.92_-88.026_7088/1/14_2004","7088/1/14","46.920000","-88.026000","1","1","2004"
"1","1.4","Acer saccharum","46.92_-88.026_7088/0/15_1994","7088/0/15","46.920000","-88.026000","1","1","1994"
"1","1.4","Acer saccharum","46.92_-88.026_7088/1/15_1999","7088/1/15","46.920000","-88.026000","1","1","1999"
"1","34.2","Acer saccharum","46.92_-88.026_7088/0/16_1962","7088/0/16","46.920000","-88.026000","1","1","1962"
"1","35.8","Acer saccharum","46.92_-88.026_7088/0/16_1967","7088/0/16","46.920000","-88.026000","1","1","1967"
"1","41.4","Acer saccharum","46.92_-88.026_7088/0/16_1989","7088/0/16","46.920000","-88.026000","1","1","1989"
"1","43.5","Acer saccharum","46.92_-88.026_7088/0/16_1994","7088/0/16","46.920000","-88.026000","1","1","1994"
"1","45.1","Acer saccharum","46.92_-88.026_7088/0/16_1999","7088/0/16","46.920000","-88.026000","1","1","1999"
"1","46","Acer saccharum","46.92_-88.026_7088/0/16_2004","7088/0/16","46.920000","-88.026000","1","1","2004"
"1","47.5","Acer saccharum","46.92_-88.026_7088/0/16_2009","7088/0/16","46.920000","-88.026000","1","1","2009"
"1","54.6","Acer saccharum","46.92_-88.026_7088/0/17_1962","7088/0/17","46.920000","-88.026000","1","1","1962"
"1","56.1","Acer saccharum","46.92_-88.026_7088/0/17_1967","7088/0/17","46.920000","-88.026000","1","1","1967"
"1","64.5","Acer saccharum","46.92_-88.026_7088/0/17_1989","7088/0/17","46.920000","-88.026000","1","1","1989"
"1","66.4","Acer saccharum","46.92_-88.026_7088/0/17_1994","7088/0/17","46.920000","-88.026000","1","1","1994"
"1","67.7","Acer saccharum","46.92_-88.026_7088/0/17_2004","7088/0/17","46.920000","-88.026000","1","1","2004"
"1","67.8","Acer saccharum","46.92_-88.026_7088/0/17_1999","7088/0/17","46.920000","-88.026000","1","1","1999"
"1","68.5","Acer saccharum","46.92_-88.026_7088/0/17_2009","7088/0/17","46.920000","-88.026000","1","1","2009"
"1","18","Acer saccharum","46.92_-88.026_7088/0/18_1962","7088/0/18","46.920000","-88.026000","1","1","1962"
"1","18.7","Acer saccharum","46.92_-88.026_7088/0/18_1967","7088/0/18","46.920000","-88.026000","1","1","1967"
"1","24.9","Acer saccharum","46.92_-88.026_7088/0/18_1989","7088/0/18","46.920000","-88.026000","1","1","1989"
"1","26.1","Acer saccharum","46.92_-88.026_7088/0/18_1994","7088/0/18","46.920000","-88.026000","1","1","1994"
"1","28.2","Acer saccharum","46.92_-88.026_7088/0/18_1999","7088/0/18","46.920000","-88.026000","1","1","1999"
"1","30","Acer saccharum","46.92_-88.026_7088/0/18_2004","7088/0/18","46.920000","-88.026000","1","1","2004"
"1","31.5","Acer saccharum","46.92_-88.026_7088/0/18_2009","7088/0/18","46.920000","-88.026000","1","1","2009"
"1","10.9","Acer saccharum","46.92_-88.026_7088/0/19_1989","7088/0/19","46.920000","-88.026000","1","1","1989"
"1","12","Acer saccharum","46.92_-88.026_7088/0/19_1994","7088/0/19","46.920000","-88.026000","1","1","1994"
"1","13.2","Acer saccharum","46.92_-88.026_7088/0/19_2004","7088/0/19","46.920000","-88.026000","1","1","2004"
"1","13.3","Acer saccharum","46.92_-88.026_7088/0/19_1999","7088/0/19","46.920000","-88.026000","1","1","1999"
"1","15.2","Acer saccharum","46.92_-88.026_7088/0/19_2009","7088/0/19","46.920000","-88.026000","1","1","2009"
"1","47.2","Acer saccharum","46.92_-88.026_7088/0/20_1962","7088/0/20","46.920000","-88.026000","1","1","1962"
"1","48","Acer saccharum","46.92_-88.026_7088/0/20_1967","7088/0/20","46.920000","-88.026000","1","1","1967"
"1","48","Acer saccharum","46.92_-88.026_7088/1/20_1989","7088/1/20","46.920000","-88.026000","1","1","1989"
"1","6.4","Acer saccharum","46.92_-88.026_7088/0/21_1989","7088/0/21","46.920000","-88.026000","1","1","1989"
"1","6.6","Acer saccharum","46.92_-88.026_7088/0/21_1994","7088/0/21","46.920000","-88.026000","1","1","1994"
"1","7.8","Acer saccharum","46.92_-88.026_7088/0/21_1999","7088/0/21","46.920000","-88.026000","1","1","1999"
"1","8.5","Acer saccharum","46.92_-88.026_7088/0/21_2004","7088/0/21","46.920000","-88.026000","1","1","2004"
"1","9.2","Acer saccharum","46.92_-88.026_7088/0/21_2009","7088/0/21","46.920000","-88.026000","1","1","2009"
"1","23.8","Acer saccharum","46.92_-88.026_7088/0/22_1962","7088/0/22","46.920000","-88.026000","1","1","1962"
"1","24.8","Acer saccharum","46.92_-88.026_7088/0/22_1967","7088/0/22","46.920000","-88.026000","1","1","1967"
"1","31.1","Acer saccharum","46.92_-88.026_7088/0/22_1989","7088/0/22","46.920000","-88.026000","1","1","1989"
"1","33","Acer saccharum","46.92_-88.026_7088/0/22_1994","7088/0/22","46.920000","-88.026000","1","1","1994"
"1","33.9","Acer saccharum","46.92_-88.026_7088/0/22_1999","7088/0/22","46.920000","-88.026000","1","1","1999"
"1","36.5","Acer saccharum","46.92_-88.026_7088/0/22_2004","7088/0/22","46.920000","-88.026000","1","1","2004"
"1","37.1","Acer saccharum","46.92_-88.026_7088/0/22_2009","7088/0/22","46.920000","-88.026000","1","1","2009"
"1","40.8","Acer saccharum","46.92_-88.026_7088/0/23_1962","7088/0/23","46.920000","-88.026000","1","1","1962"
"1","41.4","Acer saccharum","46.92_-88.026_7088/0/23_1967","7088/0/23","46.920000","-88.026000","1","1","1967"
"1","45.9","Acer saccharum","46.92_-88.026_7088/0/23_1989","7088/0/23","46.920000","-88.026000","1","1","1989"
"1","47.2","Acer saccharum","46.92_-88.026_7088/0/23_1994","7088/0/23","46.920000","-88.026000","1","1","1994"
"1","48.2","Acer saccharum","46.92_-88.026_7088/0/23_1999","7088/0/23","46.920000","-88.026000","1","1","1999"
"1","50.2","Acer saccharum","46.92_-88.026_7088/0/23_2004","7088/0/23","46.920000","-88.026000","1","1","2004"
"1","52.6","Acer saccharum","46.92_-88.026_7088/0/23_2009","7088/0/23","46.920000","-88.026000","1","1","2009"
"1","67","Acer saccharum","46.92_-88.026_7088/0/24_1962","7088/0/24","46.920000","-88.026000","1","1","1962"
"1","68.3","Acer saccharum","46.92_-88.026_7088/0/24_1967","7088/0/24","46.920000","-88.026000","1","1","1967"
